trial,day,go,mo,oc,pl
371,9,674.1,1056.925,1358.575,1933.7
372,9,673.875,1165.65,1441.35,2192.7
373,9,709.9,1200.55,1498.125,2232.4
374,9,669.075,1455.725,1779.375,2366.45
375,9,573.05,718.95,916.875,1462.375
376,9,668.2,1079.225,1392.4,1929.35
377,9,901.4,1327.8,1720.3,2371.675
378,9,617.2,1168.05,1450.5,2027.8
379,9,735.1,1218.3,1439.875,1959.525
380,9,701.225,1216.85,1617.15,2230.05
381,9,600.275,1144.125,1412.125,1875.75
382,9,568.075,881.8,1410.15,1786.525
383,9,604,1032.925,1338.675,2055.975
384,9,667.95,1046.625,1342.625,1745.125
385,9,670.9,1231.45,1553.875,1957.1
386,9,884.85,1320.375,1914.9,2293.3
387,9,635.275,1135.25,1397.625,1847.675
388,9,901.2,1394.525,1704.225,2194.575
389,9,584.325,947.8,1377.725,2116.9
390,9,768.15,1179.15,1576.25,2565.025
391,9,937.45,1560.125,2137.15,2984.45
392,9,937.625,1408.5,1733.275,2515.65
393,9,540.95,1286.675,1691.925,2283.95
394,9,584.225,962.725,1264.1,1718.525
395,9,601.675,1036.975,1325.575,1852.675
396,9,1004.375,1533.6,1825.025,2164.55
397,9,617.925,1061,1317.675,1822.325
398,9,540.175,834.05,1319.175,1832.05
399,9,701.925,1568.6,1881.975,2710.525
400,9,603.7,1138.725,1450.55,2078.275
401,9,1034.85,1426.5,1782.525,2666.675
402,9,568.6,991.5,1277.6,2243.5
403,9,973.725,1746.9,2094.975,2670.225
404,9,871.15,1375.725,1624.975,2102.7
405,9,701.125,1124.3,1399.425,1879.25
406,9,740,1208.1,1475.575,1942.875
407,9,1034.7,1497.325,1804.425,2361.3
408,9,672.4,1060.925,1400.475,2025.575
409,9,951.725,1504.4,1809.9,2451.175
410,9,970.925,1570.575,1838.275,2288.075
411,10,1017.7,1422.975,1714.525,2285.05
412,10,736.625,1182.65,1553.625,2179.025
413,10,655.9,997.2,1339.975,1833.925
414,10,984.075,1799.325,2631.4,3377.65
415,10,917.8,1197.35,1528.725,2235.85
416,10,665.675,1260.6,1592.725,2224.1
417,10,835.55,1343.775,1650.65,2278.15
418,10,965.425,1508.75,1831.125,2317.15
419,10,865.325,1263.25,1583.425,2210.75
420,10,884.125,1342.6,1624.9,2070.15
421,10,651.025,1355.975,1658.025,2168.8
422,10,649.475,1045.675,1361.675,1763.6
423,10,817.8,1423.775,1667.925,2229.85
424,10,965.825,1386.125,1644.1,2229.9
425,10,1032.7,1444.75,1818.025,2397.675
426,10,681.1,1284.45,1621.525,2139.525
427,10,1018.35,1435.75,1807.625,2460.475
428,10,818.475,1322.975,1711.075,2221.15
429,10,734.225,1051.35,1328.7,1800.175
430,10,833.5,1111.9,1408.4,1899.5
431,10,832.4,2014.85,2339.1,2922.8
432,10,717.75,1079.4,1390.275,1867.775
433,10,631.975,1186.3,1451,1803.275
434,10,767.925,1475.9,1927.925,2459.525
435,10,545.375,975.325,1314.925,2021.5
436,10,767.85,1319.65,1702.475,2304.325
437,10,867.725,1299.325,1698.075,2296.325
438,10,568.2,1253.15,1633.5,2214.075
439,10,868.6,1238.425,1690.55,2314.55
